epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,68.5411,0.94254,1.0806,0.95492,0.53268,0.61173,0.59067,0.40514,1.10184,0.91193,1.11614,0.000171217,0.000171217,0.000171217
65,69.6665,0.93808,1.08003,0.97438,0.5286,0.63723,0.61397,0.42282,1.08713,0.89359,1.10847,0.000166712,0.000166712,0.000166712
66,70.7366,0.95025,1.058,0.96107,0.56741,0.59761,0.61339,0.4284,1.08902,0.87562,1.10949,0.000162207,0.000162207,0.000162207
67,71.8346,1.00174,1.10055,0.97733,0.58448,0.62517,0.625,0.42929,1.10037,0.86201,1.11757,0.000157703,0.000157703,0.000157703
68,72.8632,0.93562,1.06286,0.96466,0.60035,0.61305,0.6346,0.42753,1.09518,0.85132,1.11731,0.000153198,0.000153198,0.000153198
69,73.9104,0.97649,1.0485,1.00525,0.54612,0.66634,0.62681,0.42035,1.09604,0.85942,1.11713,0.000148694,0.000148694,0.000148694
70,75.0129,0.94951,0.98986,0.95841,0.52014,0.65163,0.61499,0.41955,1.10489,0.86265,1.1201,0.00014419,0.00014419,0.00014419
71,76.063,0.87552,0.98615,0.95637,0.65979,0.55934,0.60716,0.40713,1.11206,0.86415,1.12065,0.000139685,0.000139685,0.000139685
72,77.1082,0.96929,1.04965,0.98305,0.63859,0.59211,0.62297,0.41496,1.13975,0.86614,1.13373,0.000135181,0.000135181,0.000135181
73,78.1069,0.93446,1.06982,0.97882,0.73779,0.55924,0.62923,0.42449,1.1538,0.87367,1.13754,0.000130676,0.000130676,0.000130676
74,79.0745,1.0106,1.04609,1.00211,0.58762,0.67974,0.65576,0.43769,1.15672,0.87761,1.1369,0.000126172,0.000126172,0.000126172
75,80.097,0.9645,1.00593,0.98759,0.58892,0.68954,0.65184,0.42419,1.1572,0.88008,1.13766,0.000121667,0.000121667,0.000121667
76,81.205,0.9247,1.00079,0.94091,0.67369,0.65318,0.66608,0.42966,1.14324,0.87574,1.13496,0.000117163,0.000117163,0.000117163
77,82.4073,0.90107,0.9924,0.96318,0.6746,0.66435,0.66364,0.43036,1.13593,0.86119,1.13803,0.000112658,0.000112658,0.000112658
78,83.4621,0.92776,1.01998,0.97199,0.56583,0.67613,0.6582,0.425,1.12552,0.85044,1.13669,0.000108154,0.000108154,0.000108154
79,84.4534,0.92895,1.02708,0.96666,0.54019,0.64168,0.63463,0.42093,1.11857,0.84394,1.1374,0.000103649,0.000103649,0.000103649
80,85.5253,0.92548,1.00274,0.95266,0.5464,0.66634,0.62535,0.41809,1.11657,0.83382,1.13584,9.91445e-05,9.91445e-05,9.91445e-05
81,86.5316,0.90577,0.95652,0.94208,0.5402,0.66634,0.62456,0.40935,1.1183,0.82552,1.13488,9.464e-05,9.464e-05,9.464e-05
82,87.5828,0.9167,0.93117,0.96664,0.52423,0.66587,0.6231,0.40547,1.12659,0.82805,1.13836,9.01355e-05,9.01355e-05,9.01355e-05
83,88.6431,0.89803,0.97117,0.94454,0.5341,0.67614,0.62951,0.41301,1.13939,0.83065,1.14254,8.5631e-05,8.5631e-05,8.5631e-05
